,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria from actural contract translated in English.,criteria from actural contract translated in English.the the value,criteria from actual contract in original Romanian,criteria from actual contract translated in English,criteria from actural contract translated in English.the,criteria from actural contract translated in English.the the
13,,"Garanția extinsă: Componenta tehnica 2, Punctajul se va acorda astfel:
- pentru oferta depusă cu cea mai mare perioadă de garanție extinsă (număr luni) dintre ofertele admisibile se acordă punctaj maxim: 30 puncte;
- pentru celelalte oferte, punctajul se acordă conform algoritmului:
   P3=(Garanție „n” / Garanție maximă ofertată) x 30

* Garanția minimă solicitată este 24 luni;
** Perioada maximă a garanției extinse peste care nu se acordă punctaj suplimentar este de 60 de luni, față de cerința minimă solicitată (se acordă punctaj maxim).
Punctajul total se obtine prin însumarea punctajelor obţinute pentru toţi factorii de evaluare:
Pt=P1+P2+P3
Factorii de evaluare utilizați asigură o concurență reală între operatorii economici și sunt însoțiți de prevederi care să permită verificarea efectivă a informațiilor furnizate de către ofertanți, în scopul aplicării factorilor de evaluare. Atunci când consideră necesar, Autoritatea contractantă verifică exactitatea informațiilor și dovezilor furnizate de ofertanți.","Extended warranty: Technical component 2, the scoring will be awarded as follows:
- for the bid submitted with the longest extended warranty period (number of months) among the admissible bids, the maximum score is awarded: 30 points;
- for the other bids, the score is awarded according to the algorithm:
   P3 = (Warranty “n” / Maximum warranty offered) × 30

* The minimum warranty requested is 24 months;
** The maximum period of extended warranty beyond which no additional points are awarded is 60 months, compared to the minimum requested requirement (maximum points are awarded).
The total score is obtained by summing the scores obtained for all evaluation factors:
Pt = P1 + P2 + P3
The evaluation factors used ensure real competition among economic operators and are accompanied by provisions that allow effective verification of the information provided by the bidders, for the purpose of applying the evaluation factors. When deemed necessary, the contracting authority verifies the accuracy of the information and evidence provided by the bidders.",100201637,,,,,,
14,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",100201647,,,,,,
15,,"Garanție suplimentară pentru rezistența la coroziune a caroseriei (față de garanția minimă de 48 luni fără limită de km), solicitată prin Caietul de Sarcini: Componenta tehnica, Algoritm de calcul Garantie suplimentară produse:
a)   în situația în care ofertantul asigură pentru echipamente o perioadă de garanție de 48 de luni (garanția minimă prevăzută în Caietul de sarcini), se acordă 0 puncte;
b)   în situația în care ofertantul asigură o perioadă de garanție de 54 de luni se acordă 10 puncte;
c)   în situația în care ofertantul asigură o perioadă de garanție de 60 de luni, se acordă 20 puncte;
d)   în situația în care ofertantul asigură o perioadă de garanție mai mare de 60 de luni, se acordă 30 puncte;
 Notă: În situația în care ofertantul asigură o garanție mai mică de 48 de luni, (garanția minimă prevăzută în Caietul de sarcini), oferta va fi declarată neconformă.","Additional guarantee for the corrosion resistance of the bodywork (as opposed to the minimum guarantee of 48 months with no kilometre limit), requested through the Specification: Technical component, Calculation algorithm for additional product guarantee:
a)   if the bidder provides a warranty period of 48 months (the minimum warranty stipulated in the Specification), 0 points are awarded;
b)   if the bidder provides a warranty period of 54 months, 10 points are awarded;
c)   if the bidder provides a warranty period of 60 months, 20 points are awarded;
d)   if the bidder provides a warranty period longer than 60 months, 30 points are awarded;
Note: If the bidder provides a warranty period shorter than 48 months (the minimum warranty stipulated in the Specification), the offer will be declared non‑conforming.",100201647,,,,,,
16,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) For the lowest among the prices, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",100201653,,,,,,
17,,"Gestionarea cartușelor la sfârșitul ciclului de viață (G): Autoritatea contractantă acordă punctaj pentru ofertele care prezintă un termen de colectare a produselor mai mic față de termenul maxim acceptat de 60 de zile.
Termenul de livrare va fi exprimat in zile lucratoare.
Ofertantul va face dovada existenței unui sistem de preluare și reciclare periodică a cartușelor și recipientelor uzate, rezultate în urma utilizării produselor livrate de către respectivul ofertant, pe cheltuială proprie, cu scopul reutilizării acestor consumabile sau piesele lor sau a reciclării materialelor, pe întreaga perioadă de derulare a acordului-cadru, precum și punerea la dispoziția A.C. a unor containere potrivite pentru acumularea cartușelor sau recipientelor utilizate și prezentarea dovezii înregistrii conform Directivei DEEE a prod. de cartuse care intra sub incidenta Directvei DEEE dacă este cazul), a)   Se vor acorda 20 puncte pentru un termen de colectare intre 2-10 zile lucratoare de la transmiterea comenzii ferme.
b)   Se vor acorda 15 puncte pentru un termen de colectare intre 11-25 de zile lucratoare de la transmiterea comenzii ferme.
c)   Se vor acorda 10 puncte pentru un termen de colectare intre 26-40 de zile lucratoare de la transmiterea comenzii ferme.
d)   Se vor acorda 5 puncte pentru un termen de colectare intre 41-60 de zile lucratoare de la transmiterea comenzii ferme.
e)   Se vor acorda 0 puncte un termen de colectare de peste 60 de zile lucratoare de la transmiterea comenzii ferme.
Termenul de livrare va fi exprimat in zile lucratoare.","Management of cartridges at end of life (G): The contracting authority awards points for offers that present a collection period for the products shorter than the maximum accepted term of 60 days. The delivery term shall be expressed in working days.
The bidder shall demonstrate the existence of a system for periodic collection and recycling of used cartridges and containers resulting from the use of the products delivered by the bidder, at its own expense, with the aim of reusing these consumables or their parts or recycling the materials, throughout the entire duration of the framework agreement, as well as providing the contracting authority with suitable containers for accumulating the used cartridges or containers and presenting evidence of registration in accordance with the WEEE Directive for cartridge products that fall under the WEEE Directive, if applicable.
a) 20 points will be awarded for a collection period of 2-10 working days from the receipt of the firm order.
b) 15 points will be awarded for a collection period of 11-25 working days from the receipt of the firm order.
c) 10 points will be awarded for a collection period of 26-40 working days from the receipt of the firm order.
d) 5 points will be awarded for a collection period of 41-60 working days from the receipt of the firm order.
e) 0 points will be awarded for a collection period of more than 60 working days from the receipt of the firm order.
The delivery term shall be expressed in working days.",100201653,,,,,,
18,,"Termenul de garanție (T): Nota: 
1)   În cazul ofertării unui termen de garanție mai mic de 12 luni de la recepție (cerință minimă conform caietului de sarcini), oferta respectivă va fi respinsă ca neconformă (potrivit art. 137 alin (3) lit. a) din HG 395/2016).
2)   Pentru ofertele cu garanția minimă acceptată, de 12 luni de la data recepției fără obiecții, punctajul acordat este 0 (zero) puncte.
3)   Pentru ofertele cu un termen de garanție mai mare de 24 luni de la data recepției considerate neconforme., a)   Pentru cel mai mare termen de garanție se acordă punctajul maxim alocat, respectiv 20 de puncte.
b)   Pentru celelalte termene de garanție, punctajul T(n) se calculeaza proporțional, astfel: 
 T(n) = (Termen de garantie n/ Termen maxim de garantie ofertat) x punctajul maxim alocat. 
Termenul de garantie va fi exprimat in luni calendaristice","Warranty term (T): Note:
1) In case of offering a warranty period less than 12 months from receipt (minimum requirement according to the specifications), that offer will be rejected as non‑conforming (according to art. 137 paragraph (3) letter a) of HG 395/2016).
2) For offers with the minimum accepted warranty, i.e., 12 months from the date of receipt without objections, the awarded score is 0 (zero) points.
3) For offers with a warranty period longer than 24 months from the date of receipt considered non‑conforming:
   a) The longest warranty period receives the maximum allocated score, i.e., 20 points.
   b) For the other warranty periods, the score T(n) is calculated proportionally as follows:
      T(n) = (Warranty period n / Maximum offered warranty period) × maximum allocated score.
The warranty period shall be expressed in calendar months.",100201653,,,,,,
19,,"Termenul de livrare (L): Timpul maxim de livrare acceptat este de 5 zile lucrătoare. Orice ofertă cu un timp de livrare mai mare de 5 zile lucrătoare va fi declarată neconformă. Timpul minim de livrare care va fi punctat este de 2 zile lucrătoare. Orice ofertă cu un termen de livrare mai mic de 2 zile lucrătoare nu va fi punctată suplimentar. Termenul de livrare va fi exprimat in zile lucratoare., Pentru timpul cel mai scăzut de livrare se acordă punctajul maxim de 20 puncte. Pentru ofertele cu timpul cel mai scăzut de livrare determinarea punctajului se realizează astfel: T(n) = [timpul cel mai scurt de livrare de la lansare/timpul de livrare ofertat (n)] x 20 puncte. Timpul maxim de livrare acceptat este de 5 zile lucrătoare. Orice ofertă cu un timp de livrare mai mare de 5 zile lucrătoare va fi declarată neconformă. Timpul minim de livrare care va fi punctat este de 2 zile lucrătoare. Orice ofertă cu un termen de livrare mai mic de 2 zile lucrătoare nu va fi punctată suplimentar. Termenul de livrare va fi exprimat in zile lucratoare.","Delivery term (L): The maximum acceptable delivery time is 5 working days. Any offer with a delivery time longer than 5 working days will be declared non‑conforming. The minimum delivery time that will be scored is 2 working days. Any offer with a delivery term shorter than 2 working days will not receive additional points. The delivery term shall be expressed in working days. For the shortest delivery time, the maximum score of 20 points is awarded. For offers with the shortest delivery time, the scoring is determined as follows: T(n) = [shortest delivery time from launch / offered delivery time (n)] × 20 points. The maximum acceptable delivery time is 5 working days. Any offer with a delivery time longer than 5 working days will be declared non‑conforming. The minimum delivery time that will be scored is 2 working days. Any offer with a delivery term shorter than 2 working days will not receive additional points. The delivery term shall be expressed in working days.",100201653,,,,,,
20,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",100201660,,,,,,
21,,"Perioadele de garanție extinse: Prezentarea de garanții extinse pentru produsele furnizate, Se atribuie un număr maxim de 30 puncte suplimentare pentru fiecare an de garanție și acord privind servicii suplimentare oferit în plus față de specificațiile tehnice minime după cum urmează:
+ 4 sau mai mulți ani de garanție suplimentară: x puncte;
+ 3 ani de garanție suplimentară: 0,75x puncte 
+ 2 ani de garanție suplimentară: 0,5x puncte
+ 1 an de garanție suplimentară: 0,25x puncte
Unde x=30.
Nota:Durata minima de garantie acceptata este de 24 de luni. (sub 24 de luni oferta va fi declarata neconforma)","Extended warranty periods: Presentation of extended warranties for the supplied products. A maximum of 30 additional points is awarded for each year of warranty and agreement regarding additional services offered beyond the minimum technical specifications as follows:
+ 4 or more years of additional warranty: x points;
+ 3 years of additional warranty: 0.75x points;
+ 2 years of additional warranty: 0.5x points;
+ 1 year of additional warranty: 0.25x points;
where x = 30.
Note: The minimum warranty duration accepted is 24 months. (offers under 24 months will be declared non‑conforming).",100201660,,,,,,
22,,"Termenul de livrare de la ordinul de comandă: Termenul de livrare al produselor ce fac obiectul prezentei proceduri de la data ordinului de comandă, Punctajul de acorda astfel: Pentru cea mai scurtă durata de livrare se va acorda punctajul maxim de 30 de puncte. Pentru alte durate se va aplica formula PTX = T min/Tx *30 unde PTX este punctajul acordat ofertantului (x), T min este Termenul minim de livrare ofertat iar Tx este durata ofertată de ofertantul (x). Temenul minim de livrare este de 30 zile. Pentru un termen de livrare mai mare de 120 de zile nu se va acorda punctaj. Termenul de livrare reprezinta momentul in care bunurile achizitionate intra in posesia Autoritatii contractante.","Delivery term from the purchase order: The delivery term of the products that are the object of this procedure from the date of the purchase order. Points are awarded as follows: For the shortest delivery period the maximum score of 30 points will be awarded. For other periods the formula PTX = Tmin / Tx * 30 will be applied, where PTX is the score awarded to the bidder (x), Tmin is the minimum delivery term offered and Tx is the delivery period offered by the bidder (x). The minimum delivery term is 30 days. For a delivery term longer than 120 days no points will be awarded. The delivery term represents the moment when the purchased goods enter the possession of the contracting authority.",100201660,,,,,,
