,match,criteria_from_actual_contract_in_original_romanian,criteria_from_actual_contract_translated_in_english,id,criteria from actual contract in original Romanina,criteria from actural contract translated in English
17,No match,"Componenta tehnica 2 

Factor tehnic de evaluare – T2 - DURATA DE GARANTIE ACORDATA  PENTRU EXECUTIA LUCRARILOR: Durata de garantie tehnica acordata lucrarilor: minim 60 luni – maxim 84 luni
Garanția acordată pentru lucrările aferente contractului reprezintă limita de timp care curge de la data întocmirii procesului-verbal recepție la terminarea lucrărilor și recepția finală în care executantul își asumă responsabilitatea remedierii defectelor, pe propria sa cheltuială (fără costuri suplimentare în sarcina autorității contractante), dacă deficiențele nu sunt imputabile beneficiarului (respectiv în situația în care apariția acestora se datorează culpei executantului în raport cu nivelul calitativ al lucrarilor executate/realizate)., Punctarea ofertelor se va face astfel: 
Autoritatea contractanta puncteaza acel termen care este situat intre minimul de 61 de luni si maximul de 84 de luni. Va obtine punctajul maxim garantia tehnica acordata lucrarilor cu durata cea mai lunga.
Termenul de garantie tehnica va fi exprimat in luni.
• Orice oferta cu o garantie tehnica egala cu 60 luni va fi considerata conforma si va fi punctate cu zero (0) puncte;
• Orice oferta cu o garantie care nu respecta termenul minim de 60 luni va fi respinsa ca neconforma.
• Nicio garantie care depaseste 84 de luni nu va fi punctata suplimentar fata de punctajul maxim aferent factorului de evaluare.
• Pentru cea mai mare durata a garantiei tehnice acordate pentru lucrari se acorda punctajul maxim alocat factorului de evaluare, respectiv 10 puncte.
• Pentru celelalte valori pentru durata garantiei tehnice acordate pentru lucrari punctajul se acorda astfel:
Pg = (NGn / NG) x 10, unde
Pg = punctaj pentru criteriul perioada de garantie
NGn = perioada de garantie a ofertantului
NG = perioada de garantie ofertata, cu durata cea mai mare
Garantia va fi fundamentata din punct de vedere tehnic, logistic si a resurselor prevazute in oferta, de natura sa asigure satisfacerea cerintelor din caietul de sarcini.
In acest sens, autoritatea contractanta isi rezerva dreptul de a analiza si verifica conformitatea termenului ofertat din punct de vedere al asigurarii indeplinirii de catre operatorii economici a cerintelor solicitate prin caietul de sarcini, cu scopul protejarii acesteia impotriva ofertelor care prevad termene nesustenabile/care nu pot fi fundamentate.
Pentru ca ofertarea unei garantii extinse a lucrarilor sa nu se faca doar la nivel declarativ in vederea obtinerii unui punctaj mare pentru acest factor de evaluare, ofertantii au obligatia ca in propunerea tehnica sa descrie modul in care planul de management al calitatii va asigura nivelul necesar de calitate al rezultatelor sale si al proceselor de lucru, prin prezentarea abordarii generale si metodologiei pentru realizarea activitatilor din cadrul contractului (executarea lucrarilor), inclusiv descrieri detaliate ale metodelor de lucru pentru componentele majore ale lucrarilor precum si materialele si/sau echipamentele pe care le pune in opera. 

ATENTIE: 
SE VA PREZENTA INTR-UN CAPITOL DISTINCT DIN CADRUL PROPUNERII TEHNICE - Descriea modului in care planul de management al calitatii va asigura nivelul necesar de calitate al rezultatelor sale si al proceselor de lucru, prin prezentarea abordarii generale si metodologiei pentru realizarea activitatilor din cadrul contractului (executarea lucrarilor), inclusiv descrieri detaliate ale metodelor de lucru pentru componentele majore ale lucrarilor precum si materialele si/sau echipamentele pe care le pune in opera.","Technical component 2

Technical evaluation factor – T2 – WARRANTY PERIOD GRANTED FOR THE EXECUTION OF WORKS: Technical warranty period granted for the works: minimum 60 months – maximum 84 months.
The warranty granted for the works under the contract represents the time limit running from the date of the acceptance report at completion of the works and up to final acceptance, during which the contractor assumes responsibility for remedying defects at its own expense (without additional costs for the contracting authority), provided that the deficiencies are not attributable to the beneficiary (i.e., where their occurrence is due to the contractor’s fault with respect to the quality level of the executed/constructed works). The scoring of bids shall be as follows:
The contracting authority will award points for the term that is between the minimum of 61 months and the maximum of 84 months. The technical warranty with the longest duration will obtain the maximum score.
The technical warranty term shall be expressed in months.
• Any bid with a technical warranty equal to 60 months will be considered compliant and will be awarded zero (0) points;
• Any bid with a warranty that does not meet the 60‑month minimum will be rejected as non‑compliant.
• No warranty that exceeds 84 months will receive additional points beyond the maximum score assigned to the evaluation factor.
• For the longest technical warranty period granted for the works, the maximum score allocated to the evaluation factor will be awarded, namely 10 points.
• For other values of the technical warranty period granted for the works, the score is awarded as follows:
Pg = (NGn / NG) × 10, where
Pg = score for the warranty period criterion
NGn = the bidder’s warranty period
NG = the offered warranty period with the longest duration
The warranty shall be substantiated from a technical, logistical, and resource perspective as provided in the bid, so as to ensure satisfaction of the requirements in the specifications.
In this regard, the contracting authority reserves the right to analyze and verify the compliance of the offered term from the standpoint of ensuring that economic operators can meet the requirements set out in the specifications, with the aim of protecting itself against bids that set unsustainable/unsubstantiated terms.
To ensure that offering an extended warranty for the works is not merely declarative for the purpose of obtaining a high score for this evaluation factor, bidders are obliged, in the technical proposal, to describe how the quality management plan will ensure the necessary level of quality of their outputs and work processes, by presenting the general approach and methodology for performing the contract activities (execution of works), including detailed descriptions of working methods for the major components of the works, as well as the materials and/or equipment they will install.

ATTENTION:
It shall be presented in a distinct chapter within the technical proposal – a description of how the quality management plan will ensure the necessary level of quality of its outputs and work processes, by presenting the general approach and methodology for carrying out the activities under the contract (execution of works), including detailed descriptions of the working methods for the major components of the works and the materials and/or equipment to be implemented.",100199938,,
18,no match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest of the prices is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",100199954,,
19,No match,"Experienţa deţinută de Managerul de contract: Experienţa deţinută în poziţia de coordonator şi/sau Director şi/sau Manager de contract şi/sau Adjunct Coordonator şi/sau Adjunct Manager de contract în cadrul unor contracte de prestari de servicii similare. Participarea expertului propus în poziţia de Coordonator şi/sau Director şi/sau Manager de contract şi/sau Adjunct Coordonator şi/sau Adjunct Manager de contract în cadrul unor contracte de prestari servicii similare se va puncta astfel:
• Pentru 2 contracte: 2.5 puncte;
• Pentru 3-4 contracte: 5 puncte;
• Pentru 5-6 contracte: 7.5 puncte;
• Pentru mai mult de 6 contracte: 10 puncte
Notă: Pentru factorii de evaluare ce privesc experienţa experţilor cheie, ofertanţii vor depune Curriculum Vitae şi documente relevante/recomandări emise de Beneficiar/Angajator pentru fiecare contract prezentat în vederea acordării punctajului.","Experience held by the Contract Manager: Experience held in the position of Coordinator and/or Director and/or Contract Manager and/or Deputy Coordinator and/or Deputy Contract Manager within similar service contracts. The participation of the proposed expert in the position of Coordinator and/or Director and/or Contract Manager and/or Deputy Coordinator and/or Deputy Contract Manager within similar service contracts will be scored as follows:
• For 2 contracts: 2.5 points;
• For 3–4 contracts: 5 points;
• For 5–6 contracts: 7.5 points;
• For more than 6 contracts: 10 points.
Note: For evaluation factors concerning the experience of key experts, tenderers shall submit a Curriculum Vitae and relevant documents/recommendations issued by the Beneficiary/Employer for each contract presented for the purpose of awarding points.",100199954,,
20,No match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) For the lowest price, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Minimum offered price / Price n) x maximum allocated score.",100199962,,
21,No match,"1.   Performanța plăcii grafice - Componenta tehnică: Performanța plăcii grafice – Model 1   10%, Punctajul pentru placa video se calculează astfel:
Punctaj = (Scor benchmark placă ofertată / Scor benchmark maxim dintre toate ofertele conforme) × 10
Scorul benchmark se va axa pe componenta GPU a plăcii grafice. 
Placa grafică va trebui să țină cont și de celelalte cerințe minime (dacă placa grafică va avea un scor benchmark mare pe componenta GPU dar nu va îndeplini cumulativ și celelalte cerințe minime necesare rulării aplicațiilor GIS, va fi considerată neconformă).
Scorul benchmark este calculat conform https://www.videocardbenchmark.net)

Documentele justificative pe care operatorii economici trebuie să le prezinte pentru demonstrarea scorului benchmark placă grafică ofertată, astfel încât comisia de evaluare să poată aplica algoritmul de calcul sunt:
-   Fișa tehnică oficială a plăcii grafice (emisă de producător sau distribuitor autorizat)
o   Captură de ecran sau link public de benchmark: https://www.videocardbenchmark.net/ (PassMark G3D)","1. Graphics card performance – Technical component: Graphics card performance – Model 1 10%. The score for the video card is calculated as follows:
Score = (Benchmark score of the offered card / Maximum benchmark score among all compliant offers) × 10
The benchmark score will focus on the GPU component of the graphics card.
The graphics card must also take into account the other minimum requirements (if the graphics card has a high benchmark score on the GPU component but does not cumulatively meet the other minimum requirements necessary for running GIS applications, it will be considered non-compliant).
The benchmark score is calculated according to https://www.videocardbenchmark.net)

The supporting documents that economic operators must submit to demonstrate the benchmark score of the offered graphics card, so that the evaluation committee can apply the calculation algorithm, are:
- The official technical data sheet of the graphics card (issued by the manufacturer or an authorized distributor)
- Screenshot or public benchmark link: https://www.videocardbenchmark.net/ (PassMark G3D)",100199962,,
22,none,"2. Performanța plăcii grafice - Componenta tehnică: Performanța plăcii grafice – Model 2   10%, Punctajul pentru placa video se calculează astfel:
Punctaj = (Scor benchmark placă ofertată / Scor benchmark maxim dintre toate ofertele conforme) × 10

Scorul benchmark se va axa pe componenta GPU a plăcii grafice. 
Placa grafică va trebui să țină cont și de celelalte cerințe minime (dacă placa grafică va avea un scor benchmark mare pe componenta GPU dar nu va îndeplini cumulativ și celelalte cerințe minime necesare rulării aplicațiilor GIS, va fi considerată neconformă).
Scorul benchmark este calculat conform https://www.videocardbenchmark.net)

Documentele justificative pe care operatorii economici trebuie să le prezinte pentru demonstrarea scorului benchmark placă grafică ofertată, astfel încât comisia de evaluare să poată aplica algoritmul de calcul sunt:
-   Fișa tehnică oficială a plăcii grafice (emisă de producător sau distribuitor autorizat)
o   Captură de ecran sau link public de benchmark: https://www.videocardbenchmark.net/ (PassMark G3D)","2. Graphics card performance - Technical component: Graphics card performance – Model 2 10%. The score for the video card is calculated as follows:
Score = (Benchmark score of the offered card / Maximum benchmark score among all compliant offers) × 10

The benchmark score will focus on the GPU component of the graphics card.
The graphics card must also take into account the other minimum requirements (if the graphics card has a high benchmark score on the GPU component but does not cumulatively meet the other minimum requirements necessary for running GIS applications, it will be considered non-compliant).
The benchmark score is calculated according to https://www.videocardbenchmark.net)

Supporting documents that economic operators must submit to demonstrate the benchmark score of the offered graphics card, so that the evaluation committee can apply the calculation algorithm, are:
- The official technical datasheet of the graphics card (issued by the manufacturer or an authorized distributor)
- Screenshot or public benchmark link: https://www.videocardbenchmark.net/ (PassMark G3D)",100199962,,
23,No match,"Timpul de intervenție în garanție - Componenta tehnică: Timpul de intervenție în garanție - Pondere 15%, - Intervenție în 0- 8 ore lucrătoare: 15 puncte
- Intervenție în 8 - 24 ore lucrătoare (NBD): 10 puncte
- Intervenție în peste 24 ore lucrătoare: 0 puncte
Documentul justificativ pe care operatorii economici trebuie să îl prezinte pentru demonstrarea timpului de intervenție în garanție, astfel încât comisia de evaluare să poată aplica algoritmul de calcul este: Angajament ferm din partea ofertantului privind timpul de intervenție (semnat de reprezentantul legal)","Warranty intervention time – Technical component: Warranty intervention time – Weight 15%.
- Intervention within 0–8 working hours: 15 points
- Intervention within 8–24 working hours (NBD, next business day): 10 points
- Intervention in more than 24 working hours: 0 points
The supporting document that economic operators must submit to demonstrate the warranty intervention time, so that the evaluation committee can apply the calculation algorithm, is: A firm commitment from the bidder regarding the intervention time (signed by the legal representative).",100199962,,
24,No match,"Durata garanției comerciale – Componenta tehnică, Pondere 10 %: Durata garanției comerciale – Pondere 10 %, - pentru o durată a  garanției comerciale de 5 ani: 10 puncte
- pentru o durată a  garanției comerciale de 4 ani: 8 puncte
- pentru o durată a  garanției comerciale de 3 ani: 0 puncte, oferta este conformă.
Documentul justificativ pe care operatorii economici trebuie să îl prezinte pentru demonstrarea duratei garanției comerciale, astfel încât comisia de evaluare să poată aplica algoritmul de calcul este: Certificat de garanție al producătorului / furnizorului.","Commercial warranty period – Technical component, Weight 10%: Commercial warranty period – Weight 10%:
- for a commercial warranty period of 5 years: 10 points
- for a commercial warranty period of 4 years: 8 points
- for a commercial warranty period of 3 years: 0 points, the offer is compliant.
The supporting document that economic operators must submit to demonstrate the commercial warranty period, so that the evaluation committee can apply the calculation algorithm, is: the manufacturer’s/supplier’s warranty certificate.",100199962,,
25,no match,"Gradul de reciclabilitate al echipamentului raportat la masa totală a echipamentului (stație + monitor + periferice) - Componenta tehnică,: Gradul de reciclabilitate al echipamentului raportat la masa totală a echipamentului (stație + monitor + periferice) -  Pondere 10 %, Se acordă punctaj în funcție de gradul de reciclabilitate declarat de producător, astfel:
≥ 90%   10 puncte
≥ 85% și < 90%   8 puncte
≥ 80% și < 85%   6 puncte
≥ 75% și < 80%   4 puncte
≥ 70% și < 75%   2 puncte
< 70% sau lipsă declarație   0 puncte
Documentul justificativ pe care operatorii economici trebuie să îl prezinte pentru demonstrarea gradului de reciclabilitate al echipamentului raportat la masa totală a echipamentului (stație + monitor + periferice), astfel încât comisia de evaluare să poată aplica algoritmul de calcul este: Declarația producătorului privind gradul de reciclabilitate al echipamentului, conform standardului IEC 62635 sau echivalent, care să precizeze procentul de reciclabilitate raportat la masa totală a echipamentului (stație, monitor, periferice).","Recyclability rate of the equipment relative to the total mass of the equipment (station + monitor + peripherals) - Technical component: Recyclability rate of the equipment relative to the total mass of the equipment (station + monitor + peripherals) - Weight 10%. Points are awarded according to the recyclability rate declared by the manufacturer, as follows:
≥ 90%   10 points
≥ 85% and < 90%   8 points
≥ 80% and < 85%   6 points
≥ 75% and < 80%   4 points
≥ 70% and < 75%   2 points
< 70% or missing declaration   0 points
The supporting document that economic operators must submit to demonstrate the recyclability rate of the equipment relative to the total mass of the equipment (station + monitor + peripherals), so that the evaluation committee can apply the calculation algorithm, is: The manufacturer’s declaration regarding the recyclability rate of the equipment, in accordance with IEC 62635 or equivalent, which must specify the recyclability percentage relative to the total mass of the equipment (station, monitor, peripherals).",100199962,,
26,No match,"Eficiența energetică a echipamentului - Componenta tehnică,: Eficiența energetică a echipamentului - Pondere 5%, Algoritm de calcul: se vor acorda 5 puncte dacă produsele au un consum de energie semnificativ redus în modurile stare de veghe și inactiv, respectând nivelul cerințelor ultimei versiuni a Energy Star sau echivalent. Pentru produsele care nu îndeplinesc cerința, se acordă 0 puncte.
Documentul justificativ pe care operatorii economici trebuie să îl prezinte pentru demonstrarea eficienței energetice a echipamentului, astfel încât comisia de evaluare să poată aplica algoritmul de calcul este: Certificare de eficiență energetică.","Energy efficiency of the equipment – Technical component: Energy efficiency of the equipment – Weight 5%. Calculation algorithm: 5 points will be awarded if the products have significantly reduced energy consumption in standby and idle modes, complying with the requirement level of the latest version of Energy Star or equivalent. For products that do not meet the requirement, 0 points will be awarded.
The supporting document that economic operators must present to demonstrate the energy efficiency of the equipment, so that the evaluation committee can apply the calculation algorithm, is: Energy efficiency certification.",100199962,,
27,No match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest of the prices receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Minimum offered price / Price n) x maximum allocated score.",100199963,,
28,None,"Tehnic: Capacitatea motorului sa fie minim 1400 cm³, Capacitatea motorului maxim ofertata va primi 30 de puncte. Pentru restul ofertelor formula de calcul a punctajului este: Capacitatea motorului ofertata / Capacitatea motorului maxim ofertata X 30","Technical: The engine capacity must be at least 1400 cm³; the highest offered engine capacity will receive 30 points. For the other offers, the scoring calculation formula is: Offered engine capacity / Highest offered engine capacity × 30.",100199963,,
29,No match,"Tehnic: Puterea motorului sa fie minim 90 CP, Puterea motorului maxim ofertata va primi 30 de puncte. Pentru restul ofertelor formula de calcul a punctajului este: Puterea motorului ofertata / Puterea motorului maxim ofertata X 30","Technical: The engine power must be at least 90 HP; the maximum offered engine power will receive 30 points. For the other offers, the scoring formula is: Offered engine power / Maximum offered engine power × 30.",100199963,,
30,no match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (lowest offered price / price n) x maximum allocated score.",100199964,,
31,No match,"Perioada de garanție extinsă: Componenta tehnica, Punctaj tehnic” se acordă astfel: Ofertele care cuprind o perioadă de garanție sub 24 luni vor fi considerate neconforme.
Pentru ofertele cu garanția minimă acceptată, de 24 luni de la data recepției fără obiecții, punctajul acordat este 0 (zero) puncte.
Ofertele care prezintă garanție peste 48 luni nu se punctează în plus.
Pentru oferta cu cel mai mare termen de garanție se acorda 20 puncte
Pentru celelalte oferte, punctajul se calculează astfel:
P2(n)=(Gn/Gmax) x 25 puncte , unde Gmax= garanția maximă (în luni);
Gn=garanția (în luni) din oferta n.","Extended warranty period: Technical component, Technical score is awarded as follows: Offers that include a warranty period of less than 24 months will be considered non-compliant.
For offers with the minimum accepted warranty of 24 months from the date of acceptance without objections, the score awarded is 0 (zero) points.
Offers that present a warranty longer than 48 months do not receive additional points.
For the offer with the longest warranty term, 20 points are awarded.
For the other offers, the score is calculated as follows:
P2(n) = (Gn / Gmax) x 25 points, where Gmax = the maximum warranty (in months);
Gn = the warranty (in months) in offer n.",100199964,,
32,No match,"Termen livrare: Componenta tehnica, Punctaj se acordă astfel:Termenul maxim acceptat pentru livrare este de 8  luni de la emiterea notei de comandă.
Ofertele care cuprind un timp mai mare de livrare de 8 luni vor fi considerate neconforme.
Pentru ofertele cu termen de livrare de 8 luni de la emiterea notei de comanda punctajul acordat este 0 (zero) puncte.
Ofertele care prezintă un timp de livrare mai mic de 3 luni nu se punctează în plus.
Pentru oferta cu cel mic termen de livrare se acordă 25 puncte
Pentru celelalte oferte, punctajul se calculează astfel:
P3(n)=(Tn/Tmax) x 25 puncte , unde
Tmax= termen maxim (în luni);
Tn=termenul ofertat (în luni) din oferta n.","Delivery term: Technical component, scoring is awarded as follows: The maximum accepted delivery term is 8 months from the issuance of the purchase order. Offers that include a delivery time greater than 8 months will be considered non-compliant. For offers with a delivery term of 8 months from the issuance of the purchase order, the score awarded is 0 (zero) points. Offers that present a delivery time shorter than 3 months are not awarded additional points. For the offer with the shortest delivery term, 25 points are awarded. For the other offers, the score is calculated as follows: P3(n) = (Tn / Tmax) x 25 points, where Tmax = maximum term (in months); Tn = the delivery term offered (in months) for offer n.",100199964,,
33,None,"Componenta tehnică: Componenta tehnică - Durata garanției acordată produselor livrate
Punctajul maxim ce poate fi acordat acestui factor de evaluare  este de 10 de puncte., Punctajul pentru factorul ”garanția extinsă acordată produselor” este de 10 puncte din totalul de 100 de puncte și are o pondere de 10% din totalul criteriului de atribuire. Punctajul se va acorda după cum urmează: 
-   Pentru o durată a garanției acordată produselor egală sau mai mare de 36 luni, se va acorda punctajul maxim alocat acestui factor de evaluare (respectiv 10 de puncte);
-   Pentru o durată a garanției acordată produselor care este egală cu 6 luni se acordă 0 puncte.
-   Pentru o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 6 luni, punctajul se va acorda după următoarea formulă de calcul:
P(n) = (G(n)/36 luni) x punctajul maxim alocat pentru factorul de evaluare.

unde 

P(n) - reprezintă punctajul calculat pentru o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 6 luni (altfel spus, reprezintă punctajul acordat operatorului economic pentru care se aplică formula de calcul); 
G(n) -  reprezintă o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 6 luni (altfel spus, reprezintă garanția ofertată de operatorul economic pentru care se aplică formula de calcul).

Pentru o durată a garanției acordată produselor care este mai mică de 6 luni, oferta va fi considerată neconformă.","Technical component: Technical component - Duration of the warranty granted for the delivered products.
The maximum score that can be awarded for this evaluation factor is 10 points. The score for the factor “extended warranty granted for the products” is 10 points out of a total of 100 points and has a weight of 10% of the total award criterion. The score will be awarded as follows:
- For a warranty period granted for the products equal to or greater than 36 months, the maximum score allocated to this evaluation factor will be awarded (namely 10 points);
- For a warranty period granted for the products that is equal to 6 months, 0 points are awarded.
- For a warranty period granted for the products that is less than 36 months but greater than 6 months, the score will be awarded according to the following calculation formula:
P(n) = (G(n)/36 months) × the maximum score allocated for the evaluation factor.

where

P(n) – represents the score calculated for a warranty period granted for the products that is less than 36 months but greater than 6 months (in other words, it represents the score awarded to the economic operator for whom the calculation formula is applied);
G(n) – represents a warranty period granted for the products that is less than 36 months but greater than 6 months (in other words, it represents the warranty offered by the economic operator for whom the calculation formula is applied).

For a warranty period granted for the products that is less than 6 months, the offer will be considered non-compliant.",100199965,,
34,None,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest of the prices is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",100199965,,
35,no match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",100199968,,
36,No match,"B1. Perioada de garanție standard de funcționare a microbuzului - GS: Componenta tehnică, Punctajul pentru factorul de evaluare B1. Perioada de garanție standard de funcționare a microbuzului - GS se acordă astfel: 
a) Pentru Perioada minimă de garanție standard de funcționare a microbuzului, (48 luni în limita a 200.000 km) – oferta este conformă, dar NU se acordă punctaj
b) Pentru cea mai mare perioadă de garanție standard de funcționare a microbuzului, dar nu mai mare de 96 de luni - GSmax (în limita minimă a 200.000 km) se acordă punctajul maxim: PthGS max = 20 puncte
c) Pentru celelalte perioade de garanție standard de funcționare a microbuzului – GSn (în limita minimă a 200.000 km), punctajul alocat se va calcula proporțional, astfel: 
PthGS n = (GSn/GSmax) x Punctaj maxim alocat (20 puncte)
d) Pentru ofertele cu o garanție standard de funcționare a microbuzului mai mare de 96 de luni, nu se acordă punctaj suplimentar (vor primi 20 puncte), iar la aplicarea algoritmului de la lit.c), pentru GSmax se va lua în calcul valoarea de 96 de luni.
unde:
PthGS – punctaj aferent factorului de evaluare tehnic - garanție standard de funcționare a microbuzului (maxim 20 de puncte);
GSmax – cea mai mare perioadă de garanție standard de funcționare a microbuzului, dar nu mai mare de 96 de luni;
GSn – perioada de garanție standard de funcționare a microbuzului, prezentată de ofertantul „n”
Note: 
- perioada de garanție standard de funcționare a microbuzului se va prezenta în luni
- ofertele cu o perioadă a garanției GS mai mică decât perioada minimă (48 luni în limita a 200.000 km) vor fi considerate neconforme.","B1. Standard operating warranty period of the minibus – GS: Technical component. The points for the evaluation factor B1. Standard operating warranty period of the minibus – GS are awarded as follows:
a) For the minimum standard operating warranty period of the minibus (48 months with a limit of 200,000 km) – the offer is compliant, but NO points are awarded.
b) For the greatest standard operating warranty period of the minibus, but no more than 96 months – GSmax (with a minimum limit of 200,000 km), the maximum score is awarded: PthGS max = 20 points.
c) For the other standard operating warranty periods of the minibus – GSn (with a minimum limit of 200,000 km), the allocated score will be calculated proportionally, as follows:
PthGS n = (GSn/GSmax) x Maximum allocated score (20 points)
d) For offers with a standard operating warranty period of the minibus greater than 96 months, no additional points are awarded (they will receive 20 points), and when applying the algorithm in letter c), for GSmax the value of 96 months will be taken into account.
where:
PthGS – the score corresponding to the technical evaluation factor – standard operating warranty of the minibus (maximum 20 points);
GSmax – the greatest standard operating warranty period of the minibus, but no more than 96 months;
GSn – the standard operating warranty period of the minibus presented by bidder “n”.
Notes:
- the standard operating warranty period of the minibus shall be presented in months
- offers with a GS warranty period shorter than the minimum period (48 months with a limit of 200,000 km) will be considered non-compliant.",100199968,,
37,none,"B2. Perioada de garanție acordată grupului de baterii - BAT: Componenta tehnică, Punctajul pentru factorul de evaluare B2. Perioada de garanție acordată grupului de baterii - BAT se acordă astfel: 
a) Pentru Perioada minimă de garanție acordată grupului de baterii (48 luni) – oferta este conformă, dar NU se acordă punctaj
b) Pentru cea mai mare perioadă de garanție acordată grupului de baterii, dar nu mai mare de 96 de luni – BATmax, se acordă punctajul maxim: PthBAT max = 30 puncte
c) Pentru celelalte perioade de garanție acordată grupului de baterii – BATn, punctajul alocat se va calcula proporțional, astfel: 
PthBAT n = (BATn/BATmax) x Punctaj maxim alocat (30 puncte)
d) Pentru ofertele cu o garanție acordată grupului de baterii, mai mare de 96 de luni, nu se acordă punctaj suplimentar (vor primi 30 puncte), iar la aplicarea algoritmului de la lit.c), pentru BATmax se va lua în calcul valoarea de 96 de luni.
unde:
PthBAT – punctaj aferent factorului de evaluare tehnic - garanție acordată grupului de baterii (maxim 30 de puncte);
BATmax  – cea mai mare perioadă de garanție acordată grupului de baterii, dar nu mai mare de 96 de luni;
BATn – perioada de garanție acordată grupului de baterii, prezentată de ofertantul „n”
Note: 
- perioada de garanție acordată grupului de baterii se va prezenta în luni
- ofertele cu o perioadă a garanției acordată grupului de baterii BAT mai mică decât perioada minimă (48 luni) vor fi considerate neconforme.","B2. Warranty period granted to the battery pack - BAT: Technical component. The scoring for the evaluation factor B2. Warranty period granted to the battery pack - BAT is awarded as follows:
a) For the minimum warranty period granted to the battery pack (48 months) – the offer is compliant, but NO points are awarded
b) For the longest warranty period granted to the battery pack, but not more than 96 months – BATmax, the maximum score is awarded: PthBAT max = 30 points
c) For the other warranty periods granted to the battery pack – BATn, the allocated score will be calculated proportionally, as follows:
PthBAT n = (BATn/BATmax) x Maximum allocated score (30 points)
d) For offers with a warranty granted to the battery pack greater than 96 months, no additional points are awarded (they will receive 30 points), and when applying the algorithm from letter c), for BATmax the value of 96 months will be taken into account.
where:
PthBAT – score corresponding to the technical evaluation factor - warranty granted to the battery pack (maximum 30 points);
BATmax – the longest warranty period granted to the battery pack, but not more than 96 months;
BATn – the warranty period granted to the battery pack presented by bidder “n”
Notes:
- the warranty period granted to the battery pack will be presented in months
- offers with a warranty period granted to the battery pack BAT less than the minimum period (48 months) will be considered non-compliant.",100199968,,
