,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria_from_actual_contract_in_original_romanian,criteria_from_actual_contract_translated_in_english,criteria_from_actual_contract_in_original_Romanian
10,No match,,,100197731,"Extindere perioada garanție: Durata minima a garantiei de buna executie este de 3 ani. Pentru o durata a garantiei mai mica decat durata minim acceptata de 3 ani, oferta va fi declarata neconforma.
Extinderea duratei de garantie se face cu adaugarea unui an intreg (ex:3 ani + 1 an=4 ani, 3 ani + 2 ani = 5 ani), Punctajul pentru Garantia extinsa a produselor se acorda astfel:
0 (zero) puncte pentru garantia minima de 3 ani;
10 (zece) puncte pentru extinderea duratei de garantie de la 3 ani la 4 ani, respectiv pentru un an de extra-garantie;
20 (douazeci) puncte pentru extinderea duratei de garantie de la 3 ani la 5 ani, respectiv pentru doi ani de extra-garantie ;
Nu se acorda punctaj intermediar pentru intervale mai mici de 12 luni. Pentru ofertele care aloca o garantie a produselor peste 5 ani se va acorda punctajul maxim alocat de 20 puncte.","Warranty period extension: The minimum duration of the performance (good execution) warranty is 3 years. For a warranty duration shorter than the minimum accepted duration of 3 years, the offer will be declared non-compliant.
The extension of the warranty duration is made by adding a full year (e.g., 3 years + 1 year = 4 years; 3 years + 2 years = 5 years). The scoring for the extended warranty of the products is awarded as follows:
0 (zero) points for the minimum warranty of 3 years;
10 (ten) points for extending the warranty duration from 3 years to 4 years, i.e., for one extra year of warranty;
20 (twenty) points for extending the warranty duration from 3 years to 5 years, i.e., for two extra years of warranty;
No intermediate score is awarded for intervals of less than 12 months. For offers that allocate a product warranty longer than 5 years, the maximum allocated score of 20 points will be awarded.",
11,no_match,,,100197731,"Terrmenul de livrare a produselor: Durata maxima a termenului de livrare este de 60 zile. Pentru o durata a termenului de livrare mai mare de 60 zile, oferta va fi declarata neconforma., Punctajul pentru factorul de evaluare “Termen de livrare”, se vor acorda după cum urmează: 
Pentru oferta admisibila cu cea mai redusă durată de livrare = 10 puncte 
Pentru restul ofertelor admisibile, punctajul se va calcula utilizând următoarea formulă: 
Durata de livrare(n) = Durata de livrare(min) / Durata de livrare(n) x 10, unde: Pdurata de livrare (n): punctajul obținut de către oferta admisibila aflata sub evaluare 
Durata de livrare (min) cea mai redusa dintre duratele de livrare ale ofertelor admisibile, exprimată în zile; Durata de livrare (n): durata de livrare a ofertei admisibile aflata sub evaluare, exprimată în zile;
Pentru oferta cu un termen de livrare de 60 zile de la emiterea comenzii, se considera conforma dar nu primeste punctaj, aceasta reprezentând îndeplinirea cerinței minime solicitate în caietul de sarcini.","Products delivery term: The maximum delivery time is 60 days. For a delivery time longer than 60 days, the offer will be declared non-compliant. The scoring for the evaluation factor “Delivery time” will be awarded as follows: 
For the admissible offer with the shortest delivery time = 10 points. 
For the rest of the admissible offers, the score will be calculated using the following formula: 
Delivery time score (n) = Delivery time (min) / Delivery time (n) x 10, where: Delivery time score (n): the score obtained by the admissible offer under evaluation; Delivery time (min): the shortest among the delivery times of the admissible offers, expressed in days; Delivery time (n): the delivery time of the admissible offer under evaluation, expressed in days. 
For an offer with a delivery term of 60 days from the issuance of the order, it is considered compliant but does not receive a score, this representing the fulfillment of the minimum requirement requested in the specifications.",
12,No match,,,100197731,"Etichetarea ecologică a mobilierului: Se acordă puncte dacă ofertantul prezintă eticheta ecologică a UE pentru mobilier, astfel cum s-a stabilit în Decizia (UE) 2016/1332 a Comisiei, sau alte etichete ecologice ISO 14024 tipul I relevante care îndeplinesc în mod direct cerințele menționate sau care utilizează metode echivalente sunt considerate a fi conforme., Punctajul pentru Etichetarea ecologică a mobilierului se acorda astfel:
0 (zero) puncte pentru ofertanții care nu prezintă Etichetarea ecologică a mobilierului;
20 (douăzeci) puncte pentru ofertanții care prezintă Etichetarea ecologică a mobilierului, astfel cum s-a stabilit în Decizia (UE) 2016/1332 a Comisiei, sau alte etichete ecologice ISO 14024 tipul I relevante care îndeplinesc în mod direct cerințele menționate sau care utilizează metode echivalente sunt considerate a fi conforme.
Modalitatea de îndeplinire: Ofertantul va prezenta eticheta ecologică a UE pentru mobilier, astfel cum s-a stabilit în Decizia (UE) 2016/1332 a Comisiei, sau alte etichete ecologice ISO 14024 tipul I relevante care îndeplinesc în mod direct cerințele menționate sau care utilizează metode echivalente sunt considerate a fi conforme.","Furniture ecolabeling: Points are awarded if the tenderer presents the EU Ecolabel for furniture as established by Commission Decision (EU) 2016/1332, or other relevant ISO 14024 Type I ecolabels that directly meet the specified requirements or use equivalent methods, which are considered compliant. The scoring for furniture ecolabeling is as follows:
0 (zero) points for tenderers who do not present furniture ecolabeling;
20 (twenty) points for tenderers who present furniture ecolabeling, as established by Commission Decision (EU) 2016/1332, or other relevant ISO 14024 Type I ecolabels that directly meet the specified requirements or that use equivalent methods are considered compliant.
Method of compliance: The tenderer shall present the EU Ecolabel for furniture, as established by Commission Decision (EU) 2016/1332, or other relevant ISO 14024 Type I ecolabels that directly meet the specified requirements or that use equivalent methods are considered compliant.",
13,No match,,,100197731,"Ambalaj din material reciclat: Ambalaj din material reciclat, Algoritm de calcul:
În cazul în care sunt utilizate cutii din carton, acestea trebuie să fie compuse din cel puțin 50% material reciclat. În cazul în care sunt utilizate pungi sau folii din plastic pentru ambalarea finală, acestea trebuie să fie compuse din cel puțin 50% material reciclat sau trebuie să fie biodegradabile sau compostabile, în conformitate cu definițiile prevăzute în EN 13432.
Se acordă 10 puncte ofertei/ofertelor care prezintă ambalaje fabricate din cel puțin 50% material reciclat.
Ofertele care prezintă ambalaje reciclate compuse din mai puţin de 50% material reciclat nu se vor puncta.

Modalitatea de îndeplinire:
Produsele care deţin o etichetă ecologică relevantă de tip I şi care îndeplinesc criteriile enumerate vor fi punctate corespunzător.
În mod alternativ, se prezintă o declaraţie de conformitate cu prezentul criteriu privind ambalajul produsului ce va fi livrat din care să reiasă faptul că acesta va fi însoţit de documente provenite de la producător care confirmă procentul de material reciclat folosit la ambalaj.
Criteriul vizează numai ambalajele primare, astfel cum sunt definite în Directiva 94/62/CE, modificată prin Directiva 2004/12/CE.
Se vor prezenta documente justificative pentru fiecare produs in parte.
Produsele care se livreaza neambalate vor fi punctate. In acest sens se va prezenta o declaratie pe propria raspundere privind produsele care se livreaza neambalate.
In cazul in care pentru unul sau mai multe produse nu se prezinta documente justificative sau nu se declara ca se livreaza neambalat(e), se vor acorda 0 puncte la acest factor.","Packaging made from recycled material: Packaging made from recycled material, Calculation algorithm:
If cardboard boxes are used, they must be composed of at least 50% recycled material. If plastic bags or films are used for final packaging, they must be composed of at least 50% recycled material or must be biodegradable or compostable, in accordance with the definitions provided in EN 13432.
10 points will be awarded to the bid(s) that present packaging made of at least 50% recycled material.
Bids that present recycled packaging composed of less than 50% recycled material will not be scored.

Method of fulfillment:
Products that bear a relevant Type I ecolabel and meet the listed criteria will be scored accordingly.
Alternatively, a declaration of conformity with this criterion regarding the packaging of the product to be delivered shall be presented, showing that it will be accompanied by documents from the manufacturer confirming the percentage of recycled material used in the packaging.
The criterion applies only to primary packaging, as defined in Directive 94/62/EC, as amended by Directive 2004/12/EC.
Supporting documents will be presented for each product individually.
Products that are delivered unpackaged will be scored. In this sense, a statement on own responsibility shall be presented regarding the products that are delivered unpackaged.
If for one or more products no supporting documents are presented or it is not declared that they are delivered unpackaged, 0 points will be awarded for this factor.",
14,No match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) For the lowest among the prices, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",100197732,,,
15,no match,,,100197732,"Garanție: Componenta tehnica, Punctajul pentru factorul de evaluare “Garanție”, cu o valoare de 20 de puncte din totalul de 100 de puncte și cu o pondere de 20% din totalul criteriului de atribuire, se va acorda după cum urmează:
a)   Pentru oferta cu termenul minim de garanție de 24 de luni, se acordă 0 puncte.
b)   Pentru oferta cu termenul de garanție de 36 de luni (extra garanție 12 luni), se acordă 10 puncte.
c)   Pentru oferta cu termenul de garanție de 48 de luni (extra garanție 24 luni), se acordă 20 puncte.
Notă: 
Orice termen de garanție aferent produselor ofertate, mai mare sau egal cu 48 de luni (4 ani) va primi punctajul maxim, respectiv 20 puncte. Altfel spus, orice termen de garanție oferit suplimentar peste acest prag de referință de 48 de luni nu va aduce un punctaj suplimentar ofertei înaintate în cadrul procesului de aplicare a factorilor de evaluare respectiv de întocmire a clasamentului final.","Warranty: Technical component. The scoring for the evaluation factor “Warranty,” worth 20 points out of a total of 100 points and with a weighting of 20% within the overall award criteria, will be granted as follows:
a) For an offer with the minimum warranty term of 24 months, 0 points are awarded.
b) For an offer with a warranty term of 36 months (extra warranty 12 months), 10 points are awarded.
c) For an offer with a warranty term of 48 months (extra warranty 24 months), 20 points are awarded.
Note:
Any warranty term for the offered products that is greater than or equal to 48 months (4 years) will receive the maximum score, namely 20 points. In other words, any warranty term offered beyond this reference threshold of 48 months will not bring additional points to the offer submitted in the process of applying the evaluation factors or in drawing up the final ranking.",
16,No match,,,100197734,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
17,no match,,,100197734,"Extindere perioada garanție: Durata minima a garantiei de buna executie este de 3 ani. Pentru o durata a garantiei mai mica decat durata minim acceptata de 3 ani, oferta va fi declarata neconforma.
Extinderea duratei de garantie se face cu adaugarea unui an intreg (ex:3 ani + 1 an=4 ani, 3 ani + 2 ani = 5 ani), Algoritm de calcul: 
Punctajul pentru Garantia extinsa a produselor se acorda astfel:
0 (zero) puncte pentru garantia minima de 3 ani;
5 (zece) puncte pentru extinderea duratei de garantie de la 3 ani la 4 ani, respectiv pentru un an de extra-garantie;
10 (douazeci) puncte pentru extinderea duratei de garantie de la 3 ani la 5 ani, respectiv pentru doi ani de extra-garantie 
Nu se acorda punctaj intermediar pentru intervale mai mici de 12 luni. Pentru ofertele care aloca o garantie a produselor peste 5 ani se va acorda punctajul maxim alocat de 10 puncte.

Punctaj maxim total: 100","Extension of the warranty period: The minimum duration of the performance warranty is 3 years. For a warranty duration shorter than the minimum accepted duration of 3 years, the offer will be declared non-compliant.
The extension of the warranty duration is done by adding a whole year (e.g.: 3 years + 1 year = 4 years, 3 years + 2 years = 5 years). Calculation algorithm:
The score for the extended warranty of the products is awarded as follows:
0 (zero) points for the minimum warranty of 3 years;
5 points for extending the warranty duration from 3 years to 4 years, i.e., for one year of extra warranty;
10 points for extending the warranty duration from 3 years to 5 years, i.e., for two years of extra warranty.
No intermediate score is awarded for intervals shorter than 12 months. For offers that allocate a product warranty exceeding 5 years, the maximum score of 10 points will be awarded.

Maximum total score: 100",
18,No match,,,100197735,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest of the offered prices receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
19,No match,,,100197735,"PERFORMANŢA ENERGETICĂ A DISPOZITIVULUI: Componenta tehnica, PERFORMANŢA ENERGETICĂ A DISPOZITIVULUI - Componenta tehnica 

Punctajul (PT2) se acorda astfel:

1. Se vor acorda puncte în funcţie de consumul de energie zilnic E (kWh/zi) astfel:
a) pentru cel mai mic consum de energie zilnic (CT) se acordă - 20 puncte
b) pentru alte consumuri de energie zilnice E (kWh/zi) punctajul se calculează potrivit ecuaţiei de proporţionalitate pe baza celorlalte valori, astfel:
consumul de energie zilnic cel mai mic (CT)/consumul de energie zilnic (CTn) x 20 puncte.
Autoritatea contractantă a stabilit un scenariu de consum bazat pe două moduri de funcționare a echipamentului/dispozitivului medical respectiv pentru care au fost stabilite timpuri medii de funcționare :
timpul To - timp de funcționare în mod oprit (stand-by)= 14 ore
timpul Ta - timp de funcționare în mod activ (maxim)= 10 ore
2. Ofertantul va indica în cadrul fișei tehnice energia consumată de produsul ofertat, în fiecare mod de funcționare, așa cum aceste valori sunt confirmate de documentele suport prezentate, precum urmează:
P0 – reprezentând puterea energetică în mod oprit (stand-by) aferent
produsului ofertat, exprimat în kW.
Pa – reprezentând puterea energetică în activ (maxim) aferent produsului ofertat, exprimat în kW
3. Consumul energetic specific fiecărui mod de utilizare, se va stabili conform următoarelor formule:
Consumul în mod oprit: Co= Po*To
Consumul în mod activ: Ca= Pa*Ta
Valoarea consumului energetic total al produsului X, stabilit în baza scenariului indicat în cadrul fișei tehnică aferente fiecărui lot în parte este CTx = Co + Ca, valoare rezultată ce se va folosi în cadrul algoritmului mai sus
indicat aferent acestui factor de evaluare.

Daca nu se prezinta performanța energetică a echipamentului se acorda - 0 puncte.

Ofertanţii trebuie să furnizeze un raport de testare conform standardului EN 50564:2011 (6.1, 6.2, 6.3, şi 6.4) sau unui standard echivalent. Raportul de testare trebuie să includă date privind performanţa energetică a echipamentului. Datele trebuie măsurate în modurile de funcţionare specificate anterior. Testele trebuie efectuate în laboratoare, în conformitate cu cerinţele generale ale standardelor EN ISO 17025, U.S. 21 CFR partea 820, ISO 13485 sau ale unui standard echivalent, în condiţiile de testare menţionate anterior.

Nu este suficientă simpla declarație a ofertanților cu privire la indicarea unui consum zilnic de energie.

Daca nu se prezinta performanța energetică a echipamentului se acorda - 0 puncte","DEVICE ENERGY PERFORMANCE: Technical component, DEVICE ENERGY PERFORMANCE – Technical component

Points (PT2) are awarded as follows:

1. Points will be awarded according to the daily energy consumption E (kWh/day) as follows:
a) for the lowest daily energy consumption (CT), 20 points are awarded
b) for other daily energy consumptions E (kWh/day), the score is calculated according to a proportionality equation based on the other values, as follows:
lowest daily energy consumption (CT) / daily energy consumption (CTn) x 20 points.
The contracting authority has established a consumption scenario based on two operating modes of the respective medical equipment/device for which average operating times have been set:
Time To – operating time in off (stand-by) mode = 14 hours
Time Ta – operating time in active (maximum) mode = 10 hours
2. The tenderer shall indicate in the technical data sheet the energy consumed by the offered product in each operating mode, as these values are confirmed by the supporting documents presented, as follows:
P0 – representing the power in off (stand-by) mode for the offered product, expressed in kW.
Pa – representing the power in active (maximum) mode for the offered product, expressed in kW
3. The energy consumption specific to each mode of use shall be determined according to the following formulas:
Consumption in off mode: Co = P0 * To
Consumption in active mode: Ca = Pa * Ta
The total energy consumption value of product X, established based on the scenario indicated in the technical data sheet for each lot, is CTx = Co + Ca, a resulting value that will be used in the algorithm indicated above for this evaluation factor.

If the energy performance of the equipment is not presented, 0 points are awarded.

Tenderers must provide a test report in accordance with standard EN 50564:2011 (6.1, 6.2, 6.3, and 6.4) or an equivalent standard. The test report must include data on the energy performance of the equipment. The data must be measured in the operating modes specified above. The tests must be carried out in laboratories, in accordance with the general requirements of standards EN ISO 17025, U.S. 21 CFR Part 820, ISO 13485 or an equivalent standard, under the testing conditions mentioned above.

A simple declaration by tenderers indicating a daily energy consumption is not sufficient.

If the energy performance of the equipment is not presented, 0 points are awarded.",
20,no_match,,,100197735,"INSTRUCTAJ PENTRU OPTIMIZAREA
EFICIENŢEI ENERGETICE: Componenta tehnica, INSTRUCTAJ PENTRU OPTIMIZAREA
EFICIENŢEI ENERGETICE  - Componenta tehnica – criteriu ecologic
Punctajul (PT1) se acorda astfel:
 
Ofertantul trebuie să asigure un instructaj incluzând elemente de ajustare şi reglaj fin al parametrilor de consum de energie electrică ai echipamentului (de exemplu, modul „standby""), în vederea optimizării consumului de energie electrică.
Se va puncta corespunzător, descrierea instructajului în domeniul optimizării energetice, care trebuie asigurat, autoritatea utilizând următoarea grilă de punctare formată din următorii subfactori de evaluare:

   Instruire la Locul de Muncă - Metode și Tehnici de Optimizare Consumuri de Energie Electrică:
-   Durată: 2 ore - 2 puncte;
-   Durată: 3 ore - 5 puncte;
-   Durată: 4 ore - 10 puncte;

Pentru instructajul minim solicitat în caietul de sarcini nu se oferă punctaj- 0 puncte","TRAINING FOR OPTIMIZING ENERGY EFFICIENCY: Technical component, TRAINING FOR OPTIMIZING ENERGY EFFICIENCY – Technical component – ecological criterion
Points (PT1) are awarded as follows:

The tenderer must provide training that includes elements of adjustment and fine tuning of the equipment’s electrical energy consumption parameters (for example, “standby” mode), in order to optimize electricity consumption.
The description of the training in the field of energy optimization to be provided will be scored accordingly, the authority using the following scoring grid consisting of the following evaluation sub-factors:

- On-the-Job Training – Methods and Techniques for Optimizing Electricity Consumption:
  - Duration: 2 hours – 2 points;
  - Duration: 3 hours – 5 points;
  - Duration: 4 hours – 10 points;

For the minimum training required in the technical specifications, no points are awarded – 0 points",
21,no_match,,,100197735,"Componenta tehnica: Sa contina Cablu HF bipolar, lungime min 3.5m, Punctajul (PT3) se acorda astfel: 

a)   Pentru–cablu mai mic de 3.5 m oferta este conforma si nu se acorda punctaj (0 puncte)
b)   Pentru – cablu lung de 3.5 m  se acorda 30 puncte","Technical component: Must include a bipolar HF cable, minimum length 3.5 m. The scoring (PT3) is awarded as follows:

a) For a cable shorter than 3.5 m the offer is compliant and no points are awarded (0 points)
b) For a cable longer than 3.5 m 30 points are awarded",
